fecha,entidad,hospitalizados,camas_intubados
2020-10-29,Estado de México,994,212
2020-11-01,Ciudad de México,2854,742
2020-11-01,Estado de México,934,196
2020-11-02,Ciudad de México,2862,731
2020-11-02,Estado de México,934,187
2020-11-06,Ciudad de México,2892,716
2020-11-06,Estado de México,944,201
2020-11-09,Ciudad de México,2970,771
2020-11-09,Estado de México,990,189
2020-11-11,Ciudad de México,3150,803
2020-11-11,Estado de México,1079,200
2020-11-16,Ciudad de México,3333,850
2020-11-16,Estado de México,1067,214
2020-11-17,Ciudad de México,3347,828
2020-11-17,Estado de México,1130,210
2020-11-18,Ciudad de México,3411,845
2020-11-18,Estado de México,1170,218
2020-11-20,Ciudad de México,3441,863
2020-11-20,Estado de México,1158,229
2020-11-30,Ciudad de México,3827,908
2020-11-30,Estado de México,1330,260
2020-12-02,Ciudad de México,3901,920
2020-12-02,Estado de México,1423,262
2020-12-04,Ciudad de México,3975,931
2020-12-04,Estado de México,1493,259
2020-12-08,Ciudad de México,4225,953
2020-12-08,Estado de México,1639,268
2020-12-15,Ciudad de México,4834,1143
2020-12-15,Estado de México,1915,312
2020-12-24,Ciudad de México,5503,1474
2020-12-24,Estado de México,2171,412
2020-12-28,Ciudad de México,5563,1500
2020-12-28,Estado de México,2284,472
2020-12-31,Ciudad de México,5867,1547
2020-12-31,Estado de México,2420,502
2021-01-01,Ciudad de México,5945,1617
2021-01-01,Estado de México,2387,505
2021-01-04,Ciudad de México,6071,1626
2021-01-04,Estado de México,2460,488
2021-01-05,Ciudad de México,6086,1582
2021-01-05,Estado de México,2459,515
2021-01-06,Ciudad de México,6186,1581
2021-01-06,Estado de México,2468,500
2020-03-24,Ciudad de México,50,39
2020-03-24,Estado de México,0,0
2020-03-29,Ciudad de México,258,84
2020-03-29,Estado de México,0,0
2020-03-30,Ciudad de México,301,104
2020-03-30,Estado de México,23,5
2020-03-31,Ciudad de México,313,118
2020-03-31,Estado de México,15,4
2020-04-02,Ciudad de México,361,136
2020-04-02,Estado de México,32,7
2020-04-06,Ciudad de México,559,171
2020-04-06,Estado de México,37,11
2020-04-07,Ciudad de México,609,178
2020-04-07,Estado de México,61,13
2020-04-08,Ciudad de México,657,202
2020-04-08,Estado de México,84,27
2020-04-11,Ciudad de México,910,265
2020-04-11,Estado de México,302,71
2020-04-12,Ciudad de México,997,280
2020-04-12,Estado de México,319,79
2020-04-13,Ciudad de México,1027,275
2020-04-13,Estado de México,352,97
2020-04-24,Ciudad de México,2162,620
2020-04-24,Estado de México,773,140
2020-04-25,Ciudad de México,2445,685
2020-04-25,Estado de México,971,155
2020-04-28,Ciudad de México,2679,809
2020-04-28,Estado de México,969,183
2020-05-02,Ciudad de México,3096,816
2020-05-02,Estado de México,1259,198
2020-05-03,Ciudad de México,3099,870
2020-05-03,Estado de México,1381,228
2020-05-12,Ciudad de México,3903,961
2020-05-12,Estado de México,1646,257
2020-05-14,Ciudad de México,4009,956
2020-05-14,Estado de México,1717,292
2020-05-18,Ciudad de México,4301,1086
2020-05-18,Estado de México,1902,326
2020-05-22,Ciudad de México,4553,1077
2020-05-22,Estado de México,1884,362
2020-05-23,Ciudad de México,4490,1123
2020-05-23,Estado de México,1869,370
2020-05-24,Ciudad de México,4458,1097
2020-05-24,Estado de México,1877,360
2020-05-27,Ciudad de México,4420,1060
2020-05-27,Estado de México,1861,347
2020-05-29,Ciudad de México,4413,1055
2020-05-29,Estado de México,1826,363
2020-05-31,Ciudad de México,4461,1065
2020-05-31,Estado de México,1894,396
2020-06-02,Ciudad de México,4449,1075
2020-06-02,Estado de México,1913,395
2020-06-07,Ciudad de México,4424,1048
2020-06-07,Estado de México,1906,378
2020-06-10,Ciudad de México,4447,1017
2020-06-10,Estado de México,1905,352
